group_key,product_id,title,brand,ram,ssd,cpu,mall,first_price,latest_price,min_price,max_price,avg_price,change_rate,period_change_rate,observed_count,seller_count,mall_count,is_latest_min,buy_timing_score,first_date,latest_date,timing_signal,link
Apple|APPLEM2PRO칩16인치32GBRAM1TBSSD스페이스|Apple M2|32GB|1TB,90583245166,Apple M2 Pro 칩 16인치 32GB RAM 1TB SSD 스페이스 그레이가 탑재된 MacBook 리퍼제품,Apple,32GB,1TB,Apple M2,카오아울렛,3127840,3127840,3127840,3127840,3127840,0.0,0.0,81,1,1,N,16,2026-06-18,2026-06-26,가격 관찰,https://smartstore.naver.com/main/products/13038734074
Apple|MACBOOKPRO|i7|32GB|512GB,59896965042,MacBook Pro 리퍼 중고맥북프로 2019 터치바 i7-9750H 32G SSD512G Pro560X 스페이스그레이 15인치,Apple,32GB,512GB,i7,G마켓,739100,739100,739100,739100,739100,0.0,0.0,66,1,1,N,16,2026-06-18,2026-06-24,가격 관찰,https://link.gmarket.co.kr/gate/pcs?item-no=4744559114&sub-id=1003&service-code=10000003&lcd=100000002
LG전자|14ZB995|i5|16GB|512GB,91175258335,LG 노트북 gram 10세대 14ZB995 윈11 인텔i5 16GB SSD512GB,LG전자,16GB,512GB,i5,일체형pc  중고노트북,709000,709000,709000,709000,709000,0.0,0.0,57,1,1,N,16,2026-06-18,2026-06-26,가격 관찰,https://smartstore.naver.com/main/products/13630747671
LG전자|14Z90QI512|i5|16GB|512GB,91077520348,중고 LG 그램 14Z90Q i5-12세대 RAM16GB NVME512GB 14인치 윈도우11 무선마우스증정,LG전자,16GB,512GB,i5,동우네트워크,899000,899000,899000,899000,899000,0.0,0.0,54,1,1,N,16,2026-06-18,2026-06-26,가격 관찰,https://smartstore.naver.com/main/products/13533009995
LG전자|15ZB90Q|i5|16GB|512GB,91174139223,LG gram 15ZB90Q 인텔i5 12세대 노트북 16GB SSD512GB WIN11,LG전자,16GB,512GB,i5,일체형pc  중고노트북,1169000,1169000,1169000,1169000,1169000,0.0,0.0,47,1,1,N,12,2026-06-20,2026-06-25,가격 관찰,https://smartstore.naver.com/main/products/13629628614
Apple|APPLE2019맥북프로16스페이스그레이I716GB512G|i7|16GB|512GB,91180820657,Apple 2019 맥북프로 16 스페이스그레이 i7 16GB 512GB,Apple,16GB,512GB,i7,리테크브릿지,490000,490000,490000,490000,490000,0.0,0.0,44,1,1,N,12,2026-06-21,2026-06-26,가격 관찰,https://smartstore.naver.com/main/products/13636309976
LG전자|업그레이드LG전자그램15I511세대16G512G나이스컨윈1|i5|16GB|512GB,88809262625,[업그레이드 리퍼] LG전자 그램15 i5-11세대 16G/512G 나이스컨 윈11,LG전자,16GB,512GB,i5,뉴딕션 몰,959000,959000,959000,959000,959000,0.0,0.0,42,1,1,N,12,2026-06-18,2026-06-23,가격 관찰,https://smartstore.naver.com/main/products/11264752294
레노버|25U16GBRAM1TBSS|Ryzen 7|16GB|1TB,91094324756,Lenovo 리퍼제품 ThinkPad E15 Gen 4 15.6 FHD IPS 디스플레이 비즈니스 노트북 AMD Ryzen 7 5825U 16GB RAM 1TB SSD Wi-,레노버,16GB,1TB,Ryzen 7,제스트아울렛,1818160,1818160,1818160,1818160,1818160,0.0,0.0,40,1,1,N,12,2026-06-18,2026-06-26,가격 관찰,https://smartstore.naver.com/main/products/13549814403
LG전자|17Z90TLGU75||16GB|512GB,91175326601,LG 그램 17Z90TL-GU75 울트라7 16GB 512GB 코파일럿 AI 노트북 리퍼,LG전자,16GB,512GB,,보스위즈,2349000,2349000,2349000,2349000,2349000,0.0,0.0,39,1,1,N,12,2026-06-20,2026-06-24,가격 관찰,https://smartstore.naver.com/main/products/13630815937
삼성전자|SAMSUNG제품삼성갤럭시북4엣지14인치AMOLED터치홈퀄||16GB|512GB,90739109466,Samsung 리퍼제품 삼성 갤럭시 북4 엣지 14인치 AMOLED 터치 윈도우 11 홈 퀄컴 8CX X세대 16GB DDR5x 512GB SSD 사파이어 블루리퍼제품,삼성전자,16GB,512GB,,볼트르마켓,1379200,1379200,1379200,1379200,1379200,0.0,0.0,37,1,1,N,12,2026-06-18,2026-06-24,가격 관찰,https://smartstore.naver.com/main/products/13194598369
